,Date Time,inci #,Description,Address,dispo
0,7/9/2024 12:13:26 AM,202407090001,911 CELL PHONE HANG UP,700 Block of SAN MARCO ST,
1,7/9/2024 12:21:36 AM,202407090002,602L TRESPASSING,3200 Block of N TEXAS ST,
2,7/9/2024 12:38:20 AM,202407090003,AUDIBLE ALARM,800 Block of E TRAVIS BL,
3,7/9/2024 12:38:43 AM,202407090004,Traffic Stop,27800 Block of ROCKVILLE RD,
4,7/9/2024 12:48:26 AM,202407090006,BIKE/PEDESTRIAN STOP,1200 Block of OLIVER RD,
5,7/9/2024 1:05:37 AM,202407090007,BIKE/PEDESTRIAN STOP,2900 Block of GULF DR,
6,7/9/2024 1:19:24 AM,202407090008,SECURITY CHECK,8200 Block of HORIZON DR,
7,7/9/2024 1:20:55 AM,202407090009,911 HANG UP,1700 Block of VERMONT ST,
8,7/9/2024 1:21:36 AM,202407090010,SUSPICIOUS PERSON,300 Block of TRAVIS BL,
9,7/9/2024 1:25:10 AM,202407090011,415 DISTURBING THE PEACE,2100 Block of N TEXAS ST,
10,7/9/2024 1:50:03 AM,202407090013,AUDIBLE ALARM,5100 Block of BUSINESS CENTER DR,
11,7/9/2024 1:51:36 AM,202407090014,SECURITY CHECK,1000 Block of WEBSTER ST,
12,7/9/2024 1:59:02 AM,202407090015,AUDIBLE ALARM,1300 Block of TRAVIS BL,
13,7/9/2024 2:22:02 AM,202407090017,WELFARE CHECK,1400 Block of W TEXAS ST,
14,7/9/2024 2:26:50 AM,202407090018,SUSPICIOUS PERSON WITH A WEAPON,0 Block of E TABOR AV,
15,7/9/2024 2:31:56 AM,202407090019,415 DISTURBING THE PEACE,2200 Block of GATEWAY CT,
16,7/9/2024 2:33:02 AM,202407090021,PERSON DOWN,0 Block of RED TOP RD,
17,7/9/2024 2:57:39 AM,202407090023,CITIZEN ASSIST FLAG DOWN,0 Block of N TEXAS ST,
18,7/9/2024 3:15:55 AM,202407090025,AUDIBLE ALARM,1100 Block of MISSOURI ST,
19,7/9/2024 3:20:15 AM,202407090026,WELFARE CHECK,1200 Block of B GALE WILSON BL,
20,7/9/2024 3:35:50 AM,202407090028,TRAFFIC HAZARD,0 Block of WB HWY 12,
21,7/9/2024 3:51:14 AM,202407090029,AUDIBLE ALARM,1900 Block of N TEXAS ST,
22,7/9/2024 3:57:36 AM,202407090030,Traffic Stop,9400 Block of OLIVER RD,
23,7/9/2024 4:01:05 AM,202407090031,SUSPICIOUS PERSON,1600 Block of VICKSBURG DR,
24,7/9/2024 4:20:47 AM,202407090033,SECURITY CHECK,800 Block of JEFFERSON ST,
25,7/9/2024 4:22:29 AM,202407090034,SECURITY CHECK,300 Block of SANTA MARIA DR,
26,7/9/2024 4:23:10 AM,202407090035,AUDIBLE ALARM,2000 Block of WINSTON DR,
27,7/9/2024 4:54:37 AM,202407090036,911 HANG UP,1300 Block of W TEXAS ST,
28,7/9/2024 4:59:40 AM,202407090037,FOLLOW UP,1200 Block of B GALE WILSON BL,
29,7/9/2024 5:30:28 AM,202407090040,AUDIBLE ALARM,1100 Block of TEXAS ST,
30,7/9/2024 5:57:45 AM,202407090043,911 CELL PHONE HANG UP,0 Block of MARTIN RD,
31,7/9/2024 5:58:55 AM,202407090044,602L TRESPASSING,1800 Block of N TEXAS ST,
32,7/9/2024 6:02:29 AM,202407090045,Traffic Stop,5400 Block of AIR BASE PKWY,
33,7/9/2024 6:10:41 AM,202407090047,CIVIL SERVICE,2100 Block of SUNHAVEN CR,
34,7/9/2024 6:11:42 AM,202407090048,FOLLOW UP,1000 Block of WEBSTER ST,
35,7/9/2024 6:51:41 AM,202407090051,SECURITY CHECK,200 Block of RED TOP RD,
36,7/9/2024 7:00:57 AM,202407090052,911 CELL PHONE HANG UP,2800 Block of MANKAS CORNER RD,
37,7/9/2024 7:09:43 AM,202407090053,911 CELL PHONE HANG UP,0 Block of HILBORN RD,
38,7/9/2024 7:09:51 AM,202407090054,AUDIBLE ALARM,5100 Block of BUSINESS CENTER DR,
39,7/9/2024 7:11:59 AM,202407090055,Traffic Stop,8300 Block of JOSEPH GEREVAS DR,
40,7/9/2024 7:26:39 AM,202407090058,Traffic Stop,8300 Block of JOSEPH GEREVAS DR,
41,7/9/2024 7:38:38 AM,202407090059,Traffic Stop,8300 Block of JOSEPH GEREVAS DR,
42,7/9/2024 7:44:24 AM,202407090060,20002L HIT AND RUN - PROPERTY DAMAGE - LATE,2700 Block of N TEXAS ST,
43,7/9/2024 7:45:23 AM,202407090061,SUSPICIOUS PERSON HOMELESS,1500 Block of TRAVIS BL,
44,7/9/2024 7:53:11 AM,202407090062,Traffic Stop,6300 Block of CEMENT HILL RD,
45,7/9/2024 8:02:30 AM,202407090063,Traffic Stop,8300 Block of JOSEPH GEREVAS DR,
46,7/9/2024 8:05:24 AM,202407090064,ABANDONED VEHICLE,5200 Block of ICHIKAWA LN,
47,7/9/2024 8:09:10 AM,202407090065,415 DISTURBING THE PEACE,200 Block of PENNSYLVANIA AV,
48,7/9/2024 8:11:20 AM,202407090067,CITIZEN ASSIST,0 Block of E TABOR AV,
49,7/9/2024 8:14:22 AM,202407090068,SECURITY CHECK,2400 Block of VILLAGE SQUARE BL,
50,7/9/2024 8:19:09 AM,202407090069,PARKING VIOLATION,26900 Block of SAN LUCAS DR,
51,7/9/2024 8:26:00 AM,202407090071,594L VANDALISM - LATE,2300 Block of N TEXAS ST,
52,7/9/2024 8:27:07 AM,202407090072,459VL BURGLARY - VEHICLE - LATE,1800 Block of FAIRFIELD AV,
53,7/9/2024 8:28:08 AM,202407090073,ABANDONED VEHICLE,2900 Block of TETON LN,
54,7/9/2024 8:35:12 AM,202407090075,ABANDONED VEHICLE,1000 Block of HICKORY AV,
55,7/9/2024 8:38:40 AM,202407090076,PARKING VIOLATION,3000 Block of MARIGOLD DR,
56,7/9/2024 8:40:54 AM,202407090079,SECURITY CHECK,700 Block of JEFFERSON ST,
57,7/9/2024 8:42:05 AM,202407090080,911 HANG UP,100 Block of CANNON DR,
58,7/9/2024 8:43:32 AM,202407090081,FOLLOW UP,1600 Block of SUNSET AV,
59,7/9/2024 8:44:12 AM,202407090082,ABANDONED VEHICLE,0 Block of PEMBROOK WY,
60,7/9/2024 8:44:55 AM,202407090083,242L BATTERY - LATE,1200 Block of SWAN LAKE DR,
61,7/9/2024 8:47:17 AM,202407090084,SECURITY CHECK,5900 Block of BRISTOL LN,
62,7/9/2024 8:47:35 AM,202407090085,Traffic Stop,27800 Block of E TABOR AV,
63,7/9/2024 8:54:20 AM,202407090086,ABANDONED VEHICLE,1200 Block of ESSEX DR,
64,7/9/2024 8:56:06 AM,202407090087,SUSPICIOUS PERSON HOMELESS,1300 Block of HOLIDAY LN,
65,7/9/2024 9:12:36 AM,202407090088,Traffic Stop,7200 Block of EB AIR BASE PKWY,
