,Date Time,inci #,Description,Address,dispo
0,8/2/2024 12:24:17 AM,202408020001,Traffic Stop,1900 Block of GRANDE CR,
1,8/2/2024 12:37:38 AM,202408020003,AUDIBLE ALARM,800 Block of E TRAVIS BL,
2,8/2/2024 1:16:49 AM,202408020006,415 DISTURBING THE PEACE,500 Block of E TENNESSEE ST,
3,8/2/2024 1:39:41 AM,202408020008,BE ON THE LOOK OUT,1200 Block of B GALE WILSON BL,
4,8/2/2024 2:34:10 AM,202408020012,911 CELL PHONE HANG UP,300 Block of DAPHNE DR,
5,8/2/2024 2:41:05 AM,202408020014,911 CELL PHONE HANG UP,500 Block of LEWIS CT,
6,8/2/2024 3:20:09 AM,202408020017,273 5 DOMESTIC VIOLENCE,1700 Block of SYCAMORE DR,
7,8/2/2024 3:21:18 AM,202408020018,415 DISTURBING THE PEACE,1900 Block of GRANDE CR,
8,8/2/2024 3:32:57 AM,202408020020,AUDIBLE ALARM,200 Block of E ATLANTIC AV,
9,8/2/2024 3:45:03 AM,202408020022,911 CELL PHONE HANG UP,2000 Block of CADENASSO DR,
10,8/2/2024 4:01:00 AM,202408020023,AUDIBLE ALARM,800 Block of CHADBOURNE RD,
11,8/2/2024 4:22:51 AM,202408020025,Traffic Stop,7400 Block of EMPIRE ST,
12,8/2/2024 4:35:16 AM,202408020027,FOLLOW UP,1200 Block of B GALE WILSON BL,
13,8/2/2024 5:07:14 AM,202408020029,SUSPICIOUS PERSON HOMELESS,3300 Block of N TEXAS ST,
14,8/2/2024 5:24:23 AM,202408020031,TRAFFIC HAZARD,11600 Block of WB I80,
15,8/2/2024 5:48:24 AM,202408020035,BE ON THE LOOK OUT,0 Block of MANUEL CAMPOS PKWY,
16,8/2/2024 6:07:45 AM,202408020038,EQUIPMENT ISSUE,1000 Block of WEBSTER ST,
17,8/2/2024 6:10:45 AM,202408020040,FOLLOW UP,1700 Block of N TEXAS ST,
18,8/2/2024 6:31:32 AM,202408020041,23152 DRUNK DRIVING,300 Block of BECK AV,
19,8/2/2024 6:37:54 AM,202408020043,911 CELL PHONE HANG UP,2400 Block of SUNRISE DR,
20,8/2/2024 6:45:21 AM,202408020044,SUSPICIOUS PERSON HOMELESS,2500 Block of N TEXAS ST,
21,8/2/2024 6:49:46 AM,202408020045,AUDIBLE ALARM,3300 Block of N TEXAS ST,
22,8/2/2024 6:50:54 AM,202408020046,FOLLOW UP,1000 Block of WEBSTER ST,
23,8/2/2024 6:52:32 AM,202408020047,911 CELL PHONE HANG UP,2100 Block of N TEXAS ST,
24,8/2/2024 7:10:35 AM,202408020048,OCCUPIED SUSPICIOUS VEHICLE TRANSIENT,0 Block of SHAKER RUN CR,
25,8/2/2024 7:18:21 AM,202408020050,FOLLOW UP,1000 Block of WEBSTER ST,
26,8/2/2024 7:19:55 AM,202408020051,ABANDONED VEHICLE,200 Block of E PACIFIC AV,
27,8/2/2024 7:39:12 AM,202408020052,911 CELL PHONE HANG UP,0 Block of SUGAR PINE ST,
28,8/2/2024 7:39:28 AM,202408020053,273 5L DOMESTIC VIOLENCE - LATE,2100 Block of N TEXAS ST,
29,8/2/2024 7:43:07 AM,202408020055,166L COURT ORDER VIOLATION - LATE,1800 Block of DOVER AV,
30,8/2/2024 7:57:34 AM,202408020057,ABANDONED VEHICLE,1000 Block of LINDEN AV,
31,8/2/2024 8:16:19 AM,202408020058,FOLLOW UP,1000 Block of WEBSTER ST,
32,8/2/2024 8:16:53 AM,202408020059,TRESPASSING TRANSIENT/CAMP,2200 Block of COURAGE DR,
33,8/2/2024 8:19:47 AM,202408020063,FOUND PROPERTY,1700 Block of NANTUCKET CT,
34,8/2/2024 8:22:24 AM,202408020064,SUSPICIOUS PERSON HOMELESS,0 Block of WEBSTER ST,
35,8/2/2024 8:22:28 AM,202408020065,415L DISTURBANCE - LATE,800 Block of DELAWARE ST,
36,8/2/2024 8:27:46 AM,202408020068,911 CELL PHONE HANG UP,1600 Block of TRAVION CT,
37,8/2/2024 8:38:18 AM,202408020070,PUBLIC SERVICE POLICE,1800 Block of STOCKBRIDGE DR,
38,8/2/2024 8:52:42 AM,202408020072,10851L VEHICLE THEFT - LATE,1100 Block of MOCKINGBIRD LN,
39,8/2/2024 9:24:05 AM,202408020075,OCCUPIED SUSPICIOUS VEHICLE TRANSIENT,0 Block of WEBSTER ST,
40,8/2/2024 9:32:31 AM,202408020077,911 CELL PHONE HANG UP,200 Block of ACACIA ST,
41,8/2/2024 9:33:15 AM,202408020078,911 CELL PHONE HANG UP,2400 Block of N TEXAS ST,
42,8/2/2024 9:45:26 AM,202408020079,SUSPICIOUS PERSON HOMELESS,700 Block of JEFFERSON ST,
43,8/2/2024 9:47:41 AM,202408020080,ABANDONED VEHICLE,1900 Block of DIAMOND WY,
44,8/2/2024 10:03:36 AM,202408020081,FOLLOW UP,1000 Block of WEBSTER ST,
