,Date Time,inci #,Description,Address,dispo
0,7/28/2024 12:04:47 AM,202407280001,Traffic Stop,14100 Block of SUNSET AV,
1,7/28/2024 12:18:39 AM,202407280002,415V VERBAL FIGHT,1300 Block of CROWLEY LN,
2,7/28/2024 12:29:36 AM,202407280004,Traffic Stop,2200 Block of N TEXAS ST,
3,7/28/2024 12:32:22 AM,202407280005,Traffic Stop,27000 Block of MANOR PL,
4,7/28/2024 12:33:54 AM,202407280006,AUDIBLE ALARM,800 Block of FIRST ST,
5,7/28/2024 12:38:35 AM,202407280007,Traffic Stop,0 Block of QUAIL DR,
6,7/28/2024 12:46:45 AM,202407280008,SECURITY CHECK,2500 Block of HILBORN RD,
7,7/28/2024 12:48:26 AM,202407280009,SUSPICIOUS PERSON HOMELESS,700 Block of FIRST ST,
8,7/28/2024 12:52:19 AM,202407280011,Traffic Stop,11600 Block of WATERMAN BL,
9,7/28/2024 1:00:05 AM,202407280012,AUDIBLE ALARM,900 Block of BECK AV,
10,7/28/2024 1:02:08 AM,202407280013,SUSPICIOUS PERSON HOMELESS,2000 Block of N TEXAS ST,
11,7/28/2024 1:03:23 AM,202407280014,SECURITY CHECK,5400 Block of AIR BASE PKWY,
12,7/28/2024 1:07:57 AM,202407280015,Traffic Stop,27400 Block of EB I80,
13,7/28/2024 1:08:27 AM,202407280016,SHOTS FIRED,0 Block of WOOLNER AV,
14,7/28/2024 1:14:21 AM,202407280017,SHOTS FIRED,0 Block of KIDDER AV,
15,7/28/2024 1:18:01 AM,202407280018,Traffic Stop,2400 Block of PEACH TREE DR,
16,7/28/2024 1:21:54 AM,202407280019,SECURITY CHECK,1000 Block of OLIVER RD,
17,7/28/2024 1:26:07 AM,202407280020,246 SHOOTING INTO A DWELLING,1300 Block of WOOLNER AV,
18,7/28/2024 1:35:23 AM,202407280021,SUSPICIOUS PERSON HOMELESS,2100 Block of N TEXAS ST,
19,7/28/2024 2:10:15 AM,202407280022,Traffic Stop,1600 Block of UNION AV,
20,7/28/2024 2:10:32 AM,202407280023,415E LOUD NOISE,200 Block of ALASKA AV,
21,7/28/2024 2:28:16 AM,202407280026,SUSPICIOUS PERSON HOMELESS,4500 Block of AVONDALE CR,
22,7/28/2024 3:25:17 AM,202407280028,911 CELL PHONE HANG UP,2300 Block of WHITE DR,
23,7/28/2024 4:16:42 AM,202407280030,AUDIBLE ALARM,2200 Block of BURGUNDY WY,
24,7/28/2024 4:19:35 AM,202407280031,CITIZEN ASSIST FLAG DOWN,8000 Block of HAWTHORN DR,
25,7/28/2024 4:37:47 AM,202407280033,415 DISTURBING THE PEACE,2800 Block of DOVER AV,
26,7/28/2024 4:57:20 AM,202407280035,SECURITY CHECK,1600 Block of W TEXAS ST,
27,7/28/2024 6:27:48 AM,202407280037,AUDIBLE ALARM,1400 Block of HOLIDAY LN,
28,7/28/2024 7:28:14 AM,202407280039,VEHICLE ACCIDENT,1000 Block of OLIVER RD,
29,7/28/2024 7:31:01 AM,202407280041,911 CELL PHONE HANG UP,1000 Block of OLIVER RD,
30,7/28/2024 7:36:23 AM,202407280042,911 HANG UP,4700 Block of BUSINESS CENTER DR,
31,7/28/2024 7:39:27 AM,202407280043,SECURITY CHECK,27200 Block of LINEAR PARK PATHWAY,
32,7/28/2024 8:03:05 AM,202407280045,SECURITY CHECK,200 Block of RED TOP RD,
33,7/28/2024 8:11:48 AM,202407280047,SUSPICIOUS PERSON HOMELESS,3300 Block of N TEXAS ST,
34,7/28/2024 8:13:46 AM,202407280048,459RL BURGLARY - RESIDENTIAL - LATE,3400 Block of GLEN ELLEN DR,
35,7/28/2024 8:16:55 AM,202407280050,911 CELL PHONE HANG UP,700 Block of MEADOWLARK DR,
36,7/28/2024 8:18:19 AM,202407280051,911 CELL PHONE HANG UP,0 Block of MAIN ST,
37,7/28/2024 8:23:51 AM,202407280053,459CL BURGLARY - COMMERCIAL - LATE,1600 Block of CAPITOLA WY,
38,7/28/2024 8:32:17 AM,202407280054,459VL BURGLARY - VEHICLE - LATE,3700 Block of DORAL DR,
39,7/28/2024 9:07:41 AM,202407280057,CITIZEN ASSIST,1300 Block of MEADOWLARK DR,
40,7/28/2024 9:27:06 AM,202407280058,TRESPASSING TRANSIENT/CAMP,1900 Block of N TEXAS ST,
41,7/28/2024 9:36:46 AM,202407280059,BIKE/PEDESTRIAN STOP,700 Block of FIRST ST,
42,7/28/2024 9:43:58 AM,202407280060,SECURITY CHECK,1300 Block of GOLD HILL RD,
43,7/28/2024 9:44:12 AM,202407280061,415L DISTURBANCE - LATE,2200 Block of HILLRIDGE DR,
44,7/28/2024 9:44:47 AM,202407280062,SUSPICIOUS PERSON HOMELESS,700 Block of MADISON ST,
45,7/28/2024 9:54:22 AM,202407280063,SECURITY CHECK,27200 Block of LINEAR PARK PATHWAY,
46,7/28/2024 10:09:40 AM,202407280065,BIKE/PEDESTRIAN STOP,2100 Block of CADENASSO DR,
47,7/28/2024 10:11:52 AM,202407280066,459VL BURGLARY - VEHICLE - LATE,2900 Block of MARIGOLD DR,
48,7/28/2024 10:15:50 AM,202407280067,SECURITY CHECK,1300 Block of TRAVIS BL,
49,7/28/2024 10:25:58 AM,202407280068,FOLLOW UP,4800 Block of HERITAGE CT,
50,7/28/2024 10:29:09 AM,202407280069,AUDIBLE ALARM,1500 Block of LUMINATE LN,
51,7/28/2024 10:42:11 AM,202407280070,245L ASSAULT WITH A DEADLY WEAPON - LATE,1200 Block of B GALE WILSON BL,
52,7/28/2024 10:50:57 AM,202407280071,911 CELL PHONE HANG UP,1300 Block of TRAVIS BL,
53,7/28/2024 10:51:02 AM,202407280072,SUSPICIOUS PERSON HOMELESS,3300 Block of N TEXAS ST,
54,7/28/2024 10:52:33 AM,202407280073,911 CELL PHONE HANG UP,1900 Block of PENNSYLVANIA AV,
55,7/28/2024 11:01:33 AM,202407280075,911 CELL PHONE HANG UP,2400 Block of N TEXAS ST,
56,7/28/2024 11:04:05 AM,202407280077,22500 PARKING VIOLATION,2900 Block of GULF DR,
57,7/28/2024 11:08:28 AM,202407280080,594 VANDALISM IN PROGRESS,100 Block of E TABOR AV,
58,7/28/2024 11:29:31 AM,202407280081,SECURITY CHECK,1300 Block of TRAVIS BL,
59,7/28/2024 11:38:02 AM,202407280082,CIVIL STANDBY,1300 Block of MEADOWLARK DR,
60,7/28/2024 11:54:23 AM,202407280083,VEHICLE ACCIDENT - NO INJURIES,0 Block of E ALASKA AV,
61,7/28/2024 11:58:24 AM,202407280084,WELFARE CHECK,1600 Block of WOOD CREEK DR,
62,7/28/2024 12:28:35 PM,202407280085,CIVIL STANDBY,900 Block of LAUREL CREEK WY,
63,7/28/2024 12:33:36 PM,202407280087,415V VERBAL FIGHT,200 Block of E ALASKA AV,
64,7/28/2024 12:36:30 PM,202407280088,SHOTS FIRED,0 Block of EB AIR BASE PKWY,
65,7/28/2024 12:54:26 PM,202407280090,594L VANDALISM - LATE,2000 Block of CLAY BANK RD,
66,7/28/2024 12:55:46 PM,202407280093,245L ASSAULT WITH A DEADLY WEAPON - LATE,2200 Block of N TEXAS ST,
67,7/28/2024 1:06:41 PM,202407280094,911 CELL PHONE HANG UP,2100 Block of LUSITANO DR,
68,7/28/2024 1:14:20 PM,202407280095,415L DISTURBANCE - LATE,800 Block of E TRAVIS BL,
69,7/28/2024 1:14:35 PM,202407280096,911 CELL PHONE HANG UP,1400 Block of GATEWAY BL,
