,Date Time,inci #,Description,Address,dispo
0,7/6/2024 12:05:32 AM,202407060001,911 CELL PHONE HANG UP,3000 Block of CLAY BANK RD,
1,7/6/2024 12:07:26 AM,202407060002,Traffic Stop,2400 Block of N TEXAS ST,
2,7/6/2024 12:13:12 AM,202407060003,415V VERBAL FIGHT,2900 Block of INSPIRATION DR,
3,7/6/2024 12:16:06 AM,202407060004,Traffic Stop,0 Block of SAN TOMAS ST,
4,7/6/2024 12:20:25 AM,202407060005,AUDIBLE ALARM,100 Block of PITTMAN RD,
5,7/6/2024 12:25:31 AM,202407060006,911 CELL PHONE HANG UP,4100 Block of CEMENT HILL RD,
6,7/6/2024 12:31:35 AM,202407060008,911 CELL PHONE HANG UP,500 Block of PARKER RD,
7,7/6/2024 12:33:23 AM,202407060009,Traffic Stop,7000 Block of DOBE LN,
8,7/6/2024 12:37:26 AM,202407060010,SECURITY CHECK,4300 Block of CENTRAL PL,
9,7/6/2024 12:50:28 AM,202407060011,273 5 DOMESTIC VIOLENCE,100 Block of E TRAVIS BL,
10,7/6/2024 12:58:26 AM,202407060012,AUDIBLE ALARM,2400 Block of N TEXAS ST,
11,7/6/2024 1:06:42 AM,202407060014,273 5 DOMESTIC VIOLENCE,1900 Block of N TEXAS ST,
12,7/6/2024 1:14:28 AM,202407060015,911 CELL PHONE HANG UP,1200 Block of TRAVIS BL,
13,7/6/2024 1:21:26 AM,202407060016,FOLLOW UP,1700 Block of N TEXAS ST,
14,7/6/2024 1:34:07 AM,202407060017,459VL BURGLARY - VEHICLE - LATE,800 Block of TEXAS ST,
15,7/6/2024 1:52:48 AM,202407060020,273 5 DOMESTIC VIOLENCE,1000 Block of VALLEY OAK WY,
16,7/6/2024 2:04:44 AM,202407060023,AUDIBLE ALARM,4900 Block of NOONAN LN,
17,7/6/2024 2:27:14 AM,202407060026,242 BATTERY,2700 Block of MARIGOLD DR,
18,7/6/2024 3:03:57 AM,202407060029,AUDIBLE ALARM,1600 Block of N TEXAS ST,
19,7/6/2024 3:04:20 AM,202407060030,911 HANG UP,4700 Block of BUSINESS CENTER DR,
20,7/6/2024 3:14:18 AM,202407060031,AUDIBLE ALARM,1700 Block of FAWN GLEN CR,
21,7/6/2024 3:34:36 AM,202407060032,911 HANG UP,100 Block of CANNON DR,
22,7/6/2024 3:42:48 AM,202407060034,SECURITY CHECK,2500 Block of N TEXAS ST,
23,7/6/2024 3:49:08 AM,202407060035,594 VANDALISM IN PROGRESS,1800 Block of N TEXAS ST,
24,7/6/2024 4:02:00 AM,202407060037,Traffic Stop,7200 Block of E TRAVIS BL,
25,7/6/2024 4:46:50 AM,202407060039,415 DISTURBING THE PEACE,3300 Block of N TEXAS ST,
26,7/6/2024 4:54:51 AM,202407060041,911 HANG UP,4700 Block of BUSINESS CENTER DR,
27,7/6/2024 5:03:08 AM,202407060042,911 CELL PHONE HANG UP,600 Block of COLEMANITE CIR,
28,7/6/2024 5:19:08 AM,202407060043,911 CELL PHONE HANG UP,2500 Block of HILBORN RD,
29,7/6/2024 5:28:07 AM,202407060044,FOLLOW UP,2900 Block of INSPIRATION DR,
30,7/6/2024 6:42:58 AM,202407060047,Traffic Stop,10900 Block of SUNSET AV,
31,7/6/2024 6:55:32 AM,202407060048,WELFARE CHECK,2400 Block of PEACH TREE DR,
32,7/6/2024 7:01:43 AM,202407060050,Traffic Stop,7200 Block of E TABOR AV,
33,7/6/2024 7:29:48 AM,202407060053,AUDIBLE ALARM,4600 Block of BUSINESS CENTER DR,
34,7/6/2024 7:48:21 AM,202407060054,Traffic Stop,9400 Block of OLIVER RD,
35,7/6/2024 8:03:14 AM,202407060056,ABANDONED VEHICLE,300 Block of E PACIFIC AV,
36,7/6/2024 8:05:53 AM,202407060057,597 CRUELTY TO ANIMALS,4600 Block of CENTRAL WY,
37,7/6/2024 8:10:08 AM,202407060058,911 HANG UP,1300 Block of W TEXAS ST,
38,7/6/2024 8:11:10 AM,202407060059,SUSPICIOUS PERSON HOMELESS,2200 Block of NEWCASTLE CT,
39,7/6/2024 8:18:01 AM,202407060060,Traffic Stop,9100 Block of N TEXAS ST,
40,7/6/2024 8:31:25 AM,202407060061,Traffic Stop,200 Block of TRAVIS BL,
41,7/6/2024 8:42:58 AM,202407060063,Traffic Stop,7100 Block of E TABOR AV,
42,7/6/2024 8:47:39 AM,202407060064,MISSING PERSON,3000 Block of TRAVIS BL,
43,7/6/2024 8:54:55 AM,202407060066,Traffic Stop,11600 Block of WATERMAN BL,
44,7/6/2024 8:57:00 AM,202407060067,PARKING VIOLATION,0 Block of VILLAGE SQUARE BL,
45,7/6/2024 9:00:42 AM,202407060068,SUSPICIOUS PERSON HOMELESS,1800 Block of N TEXAS ST,
46,7/6/2024 9:09:16 AM,202407060069,23103 RECKLESS DRIVING,0 Block of GREEN VALLEY RD,
47,7/6/2024 9:11:04 AM,202407060071,Traffic Stop,11600 Block of WATERMAN BL,
48,7/6/2024 9:12:08 AM,202407060072,911 CELL PHONE HANG UP,2400 Block of N TEXAS ST,
49,7/6/2024 9:13:08 AM,202407060073,911 CELL PHONE HANG UP,2400 Block of N TEXAS ST,
50,7/6/2024 9:16:34 AM,202407060074,WELFARE CHECK,1600 Block of WOOD CREEK DR,
51,7/6/2024 9:17:27 AM,202407060075,911 CELL PHONE HANG UP,600 Block of GREGORY ST,
52,7/6/2024 9:21:17 AM,202407060076,WELFARE CHECK,100 Block of COLUMBUS DR,
53,7/6/2024 9:25:45 AM,202407060079,459C BURGLARY - COMMERCIAL,600 Block of GREGORY ST,
54,7/6/2024 9:30:17 AM,202407060082,911 CELL PHONE HANG UP,700 Block of SAN MARCO ST,
55,7/6/2024 9:39:05 AM,202407060083,911 CELL PHONE HANG UP,1600 Block of VICKSBURG DR,
56,7/6/2024 10:02:47 AM,202407060085,Traffic Stop,9100 Block of N TEXAS ST,
57,7/6/2024 10:09:07 AM,202407060087,AUDIBLE ALARM,1500 Block of TRAVIS BL,
58,7/6/2024 10:15:20 AM,202407060088,Traffic Stop,9100 Block of N TEXAS ST,
59,7/6/2024 10:21:07 AM,202407060089,166L COURT ORDER VIOLATION - LATE,1000 Block of OLIVER RD,
60,7/6/2024 10:21:17 AM,202407060090,AUDIBLE ALARM,2300 Block of WHITE DR,
61,7/6/2024 10:28:41 AM,202407060092,TRAFFIC HAZARD,11200 Block of TRAVIS BL,
62,7/6/2024 10:33:31 AM,202407060093,VEHICLE ACCIDENT - NO DETAILS,0 Block of UNION AV,
63,7/6/2024 11:03:24 AM,202407060098,Traffic Stop,6500 Block of CLAY BANK RD,
64,7/6/2024 11:04:08 AM,202407060099,488 PETTY THEFT - LATE,2000 Block of CADENASSO DR,
65,7/6/2024 11:24:04 AM,202407060102,488 PETTY THEFT - LATE,3300 Block of N TEXAS ST,
66,7/6/2024 11:30:38 AM,202407060104,911 CELL PHONE HANG UP,2700 Block of N TEXAS ST,
67,7/6/2024 11:33:07 AM,202407060105,415V VERBAL FIGHT,2200 Block of N TEXAS ST,
68,7/6/2024 11:34:04 AM,202407060106,FLOCK HIT,0 Block of WATERMAN BL,
69,7/6/2024 11:52:14 AM,202407060109,Traffic Stop,14300 Block of AIR BASE PKWY,
70,7/6/2024 12:13:55 PM,202407060110,242 BATTERY,1600 Block of PARK LN,
71,7/6/2024 12:14:40 PM,202407060111,488 PETTY THEFT - LATE,2000 Block of CADENASSO DR,
72,7/6/2024 12:34:01 PM,202407060116,911 CELL PHONE HANG UP,5200 Block of BASCULE CT,
73,7/6/2024 12:53:58 PM,202407060117,314 INDECENT EXPOSURE,1700 Block of W TEXAS ST,
74,7/6/2024 12:56:59 PM,202407060118,602L TRESPASSING,2500 Block of N TEXAS ST,
75,7/6/2024 1:04:41 PM,202407060119,CITIZEN ASSIST FLAG DOWN,0 Block of OHIO ST,
76,7/6/2024 1:08:36 PM,202407060120,911 CELL PHONE HANG UP,2500 Block of HILBORN RD,
77,7/6/2024 1:21:31 PM,202407060122,PERSON DOWN,2000 Block of CADENASSO DR,
78,7/6/2024 1:29:19 PM,202407060124,273 5 DOMESTIC VIOLENCE,300 Block of ATLANTIC AV,
79,7/6/2024 1:29:50 PM,202407060125,WELFARE CHECK,2800 Block of DOVER AV,
